Region,QualityofLife,QualityofLifeTrend,HDI,HDITrend,NewBPer,NewBPerTrend,NewBNum,NewBNumTrend,RatioNonRP,RatioNonRPTrend,NonRPNum,NonRPNumTrend,Income2Pro,Income2ProTrend,Dummy
Australia,5,3,5,2,4,3,5,3,4,3,3,3,4,3,0
Canada,4,3,5,2,3,3,2,3,4,3,3,3,4,3,0
China,3,3,2,5,3,3,5,4,1,1,5,3,1,3,0
Hong Kong SAR,5,3,5,3,5,3,4,3,5,3,3,3,1,3,0
India,1,5,1,5,2,3,3,4,3,3,3,3,4,3,0
Indonesia,1,3,1,5,3,3,3,4,4,3,2,3,3,3,0
Japan,5,3,4,2,2,3,2,3,1,3,3,3,3,3,0
Malaysia,3,3,3,2,3,3,3,3,4,3,2,3,4,3,0
Mexico,3,3,3,2,3,3,3,3,4,3,3,3,4,3,0
Philippines,1,3,1,5,2,3,2,4,4,3,2,3,3,3,0
Russia,1,5,3,3,3,3,5,3,2,3,3,3,4,3,0
Singapore,5,3,5,1,3,3,2,3,4,3,3,3,1,3,0
South Korea,5,3,4,1,3,3,3,3,1,3,3,3,3,3,0
Thailand,3,3,2,3,3,3,3,4,4,3,2,3,1,3,0
Turkey,3,3,3,4,3,3,3,4,1,1,2,3,4,3,0
United States,3,3,5,2,3,3,3,3,3,3,5,3,5,3,0
